,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
0,AL00017,3033091,3033091,30.708334,30.7083,-88.341667,-88.3417,136500,0.769230769,0.192307692,0.576923077,avge,WBM Input,Unknown,,
1,AL00977,2562744,2562744,34.208332,34.2083,-86.808334,-86.8083,21400,0.701869159,0.17546729,0.526401869,avge,WBM Input,Unknown,,
2,AL01137,2558767,2558767,33.258335,33.2583,-87.491669,-87.4917,180000,0.722222222,0.180555556,0.541666667,avge,WBM Input,Unknown,,
3,AL01311,2562429,2562429,33.458332,33.4583,-86.675003,-86.675,26400,0.909090909,0.227272727,0.681818182,avge,WBM Input,Unknown,,
4,AL01415,2557998,2557998,34.158333,34.1583,-85.741669,-85.7417,306400,1,0.25,0.75,avge,WBM Input,Peaking,,
5,AL01416,2557891,2557891,33.775002,33.775,-86.058334,-86.0583,121860,1,0.25,0.75,avge,WBM Input,Peaking,,
6,AL01417,2557856,2557856,33.441666,33.4417,-86.324997,-86.325,650000,0.42,0.105,0.315,avge,WBM Input,Peaking,,
7,AL01418,2557790,2557790,32.958332,32.9583,-86.525002,-86.525,262800,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
8,AL01419,2557768,2557768,32.625,32.625,-86.258331,-86.2583,48000,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
9,AL01420,2558413,2558413,33.941666,33.9417,-87.10833,-87.1083,1670600,0.832036394,0.208009099,0.624027296,avge,WBM Input,Peaking,,
10,AL01421,2558135,2558135,32.575001,32.575,-85.89167,-85.8917,54000,1,0.25,0.75,avge,WBM Input,Unknown,,
11,AL01422,2558130,2558130,32.541668,32.5417,-85.89167,-85.8917,18250,1,0.25,0.75,avge,WBM Input,Unknown,,
12,AL01423,2557768,2557768,32.625,32.625,-86.258331,-86.2583,235000,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
