,NIDID,month,alpha,release_adj,increment1,increment2,increment3,inc_mult,demand_factor,cell_id,lat,lon,cell_id_orig,lat_orig,lon_orig,WBM_Decision
0,AL00017,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
1,AL00017,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
2,AL00017,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
3,AL00017,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
4,AL00017,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
5,AL00017,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
6,AL00017,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
7,AL00017,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
8,AL00017,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
9,AL00017,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
10,AL00017,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
11,AL00017,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,3033091,30.708334,-88.341667,3033091,30.7083,-88.3417,WBM Input
12,AL00977,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
13,AL00977,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
14,AL00977,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
15,AL00977,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
16,AL00977,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
17,AL00977,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
18,AL00977,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
19,AL00977,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
20,AL00977,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
21,AL00977,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
22,AL00977,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
23,AL00977,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2562744,34.208332,-86.808334,2562744,34.2083,-86.8083,WBM Input
24,AL01137,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
25,AL01137,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
26,AL01137,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
27,AL01137,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
28,AL01137,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
29,AL01137,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
30,AL01137,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
31,AL01137,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
32,AL01137,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
33,AL01137,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
34,AL01137,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
35,AL01137,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
36,AL01311,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
37,AL01311,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
38,AL01311,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
39,AL01311,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
40,AL01311,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
41,AL01311,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
42,AL01311,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
43,AL01311,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
44,AL01311,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
45,AL01311,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
46,AL01311,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
47,AL01311,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
48,AL01415,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
49,AL01415,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
50,AL01415,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
